ProblemName,Permutation,T_nlp-bb-no-conflicts,T_nlp-bb-no-nlconflicts,T_nlp-bb-no-verifyproof,N_nlp-bb-no-conflicts,N_nlp-bb-no-nlconflicts,N_nlp-bb-no-verifyproof,DI_nlp-bb-no-conflicts,DI_nlp-bb-no-nlconflicts,DI_nlp-bb-no-verifyproof,TQ+1_nlp-bb-no-conflicts,TQ+1_nlp-bb-no-nlconflicts,TQ+1_nlp-bb-no-verifyproof,NQ+100_nlp-bb-no-conflicts,NQ+100_nlp-bb-no-nlconflicts,NQ+100_nlp-bb-no-verifyproof,DIQ_nlp-bb-no-conflicts,DIQ_nlp-bb-no-nlconflicts,DIQ_nlp-bb-no-verifyproof
autocorr_bern55-06,1,7200,7200,7200,36199,34755,34506,674943.33,128723.98,129107.07,1,1,1,1,0.960219289787597,0.953359596683104,1,0.190718204445401,0.191285792838341
autocorr_bern55-06,2,7200,7200,7200,35410,34933,34958,674945.77,128854.34,128696.76,1,1,1,1,0.986567164179104,0.987271191213743,1,0.190910656422071,0.190677185813017
autocorr_bern55-14,0,7200,7200,7200,4412,2985,2978,686815.77,686816.07,686824.99,1,1,1,1,0.683732269503546,0.68218085106383,1,1.00000043679836,1.00001342426951
autocorr_bern55-14,1,7200,7200,7200,3738,3919,3609,686815.48,686811.8,686809.72,1,1,1,1,1.04715997915581,0.966388744137572,1,0.99999464193789,0.999991613468002
autocorr_bern55-14,2,7200,7200,7200,2979,3755,2989,686821.34,686809.44,686810.9,1,1,1,1,1.25202987983111,1.00324780772978,1,0.99998267380568,0.999984799540445
autocorr_bern55-28,0,7200,7200,7200,386,387,385,690653.7,690639.81,690641.9,1,1,1,1,1.00205761316872,0.997942386831276,1,0.999979888618566,0.999982914737154
autocorr_bern55-28,1,7200,7200,7200,840,386,387,690633.79,690637.25,690644.16,1,1,1,1,0.517021276595745,0.518085106382979,1,1.00000500989099,1.00001501519351
autocorr_bern55-28,2,7200,7200,7200,386,385,384,690667.18,690644.73,690656.29,1,1,1,1,0.997942386831276,0.995884773662552,1,0.999967495197904,0.999984232637202
autocorr_bern55-41,0,7200,7200,7200,2,2,2,704674.87,702787.2,701925.38,1,1,1,1,1,1,1,0.99732121850748,0.9960982147696
autocorr_bern55-41,1,7200,7200,7200,2,2,2,703957,702583.29,704508.55,1,1,1,1,1,1,1,0.998048588195018,1.00078349956034
autocorr_bern55-41,2,7200,7200,7200,2,2,2,702776.09,707181.37,703715.6,1,1,1,1,1,1,1,1.00626839766276,1.00133685538448
autocorr_bern55-55,0,7200,7200,7200,2,2,2,711630.95,714097.59,713412.08,1,1,1,1,1,1,1,1.00346617864217,1.00250288439535
autocorr_bern55-55,1,7200,7200,7200,2,2,2,712559.27,711352.67,712636.74,1,1,1,1,1,1,1,0.998306667177314,1.00010872078052
autocorr_bern55-55,2,7200,7200,7200,2,2,2,710687.48,710655.7,711746.2,1,1,1,1,1,1,1,0.999955282735528,1.00148971246827
autocorr_bern60-08,0,7200,7200,7200,12547,11911,12893,680677.78,680644.96,680644.14,1,1,1,1,0.949711394006484,1.02735826678264,1,0.999951783353351,0.999950578671747
autocorr_bern60-08,1,7200,7200,7200,12911,12139,12138,680680.18,680645.47,680648.12,1,1,1,1,0.940665590654062,0.940588732610868,1,0.999949006888962,0.99995290005359
autocorr_bern60-08,2,7200,7200,7200,12434,13143,13519,680681.6,680645.37,680645.87,1,1,1,1,1.05656614009893,1.08656454443913,1,0.999946773939534,0.999947508497365
autocorr_bern60-15,0,7200,7200,7200,2249,2249,3358,687525.9,687519.08,687516.74,1,1,1,1,1,1.47211579395487,1,0.999990080373699,0.999986676865555
autocorr_bern60-15,1,7200,7200,7200,2250,2242,3475,687524.87,687520.82,687516.85,1,1,1,1,0.996595744680851,1.52127659574468,1,0.999994109304002,0.999988334967432
autocorr_bern60-15,2,7200,7200,7200,2239,2247,2248,687526.09,687520.41,687518.34,1,1,1,1,1.00342026507054,1.00384779820436,1,0.999991738495335,0.999988727700501
autocorr_bern60-30,0,7200,7200,7200,115,115,115,692183.7,692921.97,693302.77,1,1,1,1,1,1,1,1.00106658102466,1.00161672399971
autocorr_bern60-30,1,7200,7200,7200,115,115,115,692135.36,692449.42,692530.87,1,1,1,1,1,1,1,1.00045375517298,1.00057143446623
autocorr_bern60-30,2,7200,7200,7200,115,115,115,692931.24,693233.81,692078.25,1,1,1,1,1,1,1,1.00043665227159,0.998769012059551
ball_mk2_10,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk2_10,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk2_10,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk2_30,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk2_30,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk2_30,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk4_05,0,23.87,24.07,24.2,1917,1917,1917,720000,720000,720000,1,1.00804181745074,1.01326899879373,1,1,1,1,1,1
ball_mk4_05,1,24.05,24.27,24.04,1917,1917,1917,720000,720000,720000,1,1.00878243512974,0.999600798403194,1,1,1,1,1,1
ball_mk4_05,2,24.15,24.31,23.97,1917,1917,1917,720000,720000,720000,1,1.00636182902585,0.992842942345924,1,1,1,1,1,1
ball_mk4_10,0,7200,7200,7200,554517,555279,549957,720000,720000,720000,1,1,1,1,1.00137392110231,0.991778109938931,1,1,1
ball_mk4_10,1,7200,7200,7200,554341,552579,553260,720000,720000,720000,1,1,1,1,0.996822024345242,0.998050288488766,1,1,1
ball_mk4_10,2,7200,7200,7200,551829,550468,552249,720000,720000,720000,1,1,1,1,0.997534103118336,1.00076096744328,1,1,1
ball_mk4_15,0,7200,7200,7200,559526,556735,555988,720000,720000,720000,1,1,1,1,0.995012740651792,0.993677920611265,1,1,1
ball_mk4_15,1,7200,7200,7200,557488,556074,555569,720000,720000,720000,1,1,1,1,0.99746407741917,0.996558390783159,1,1,1
ball_mk4_15,2,7200,7200,7200,558443,554735,555926,720000,720000,720000,1,1,1,1,0.993361298951021,0.995493632540377,1,1,1
