ProblemName,Permutation,T_lp-bb,T_lp-bb-confgraph,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-confgraph,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-confgraph,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-confgraph,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-confgraph,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-confgraph,DIQ_lp-bb-no-lp
autocorr_bern55-14,2,7200,7200,7200,19,19,19,731069.06,730795.36,733733.25,1,1,1,1,1,1,0.996368993772601,0.995995969925037,1
autocorr_bern55-28,0,7200,7200,7200,25,25,25,846467.09,847607.74,848217.13,1,1,1,1,1,1,0.997936801865815,0.999281563672264,1
autocorr_bern55-28,1,7200,7200,7200,25,25,25,851472.19,847623.15,848984.23,1,1,1,1,1,1,1.00293051379765,0.998396813566254,1
autocorr_bern55-28,2,7200,7200,7200,25,25,25,845275.71,844772.33,850527.45,1,1,1,1,1,1,0.993825313927258,0.993233469419476,1
autocorr_bern55-41,0,7200,7200,7200,474,471,485,681805.23,681801.45,681816.38,1,1,1,0.981196581196581,0.976068376068376,1,0.99998364662345,0.999978102608799,1
autocorr_bern55-41,1,7200,7200,7200,455,453,484,681815.89,681813.68,681846.04,1,1,1,0.950342465753425,0.946917808219178,1,0.999955781806696,0.999952540605794,1
autocorr_bern55-55,0,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern55-55,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern55-55,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-08,0,7200,7200,7200,98005,97875,95554,656752.37,656748.99,656849.15,1,1,1,1.02562360173124,1.02426453676793,1,0.999852660234089,0.999847514455945,1
autocorr_bern60-08,1,7200,7200,7200,99035,99206,99036,656639.53,656620.61,656640.98,1,1,1,0.999989912846998,1.00171481601033,1,0.999997791791795,0.99996897848197,1
autocorr_bern60-08,2,7200,7200,7200,98802,98026,98364,656683.48,656705.47,656696.91,1,1,1,1.00444832629184,0.996567273318167,1,0.99997954916523,1.00001303493266,1
autocorr_bern60-15,0,7200,7200,7200,25,25,25,1301875.26,1295245.61,1298909.45,1,1,1,1,1,1,1.00228330773943,0.997179295292678,1
autocorr_bern60-15,1,7200,7200,7200,25,25,25,1296441.24,1295429.6,1295480.89,1,1,1,1,1,1,1.00074130773168,0.999960408524436,1
autocorr_bern60-15,2,7200,7200,7200,25,25,25,1300227.73,1298156.92,1297513.37,1,1,1,1,1,1,1.0020919707363,1.000495987182,1
autocorr_bern60-30,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern60-45,0,7200,7200,7200,20,20,20,683915.82,683939.44,683912.94,1,1,1,1,1,1,1.0000042110623,1.00003874762188,1
autocorr_bern60-45,1,7200,7200,7200,20,20,20,683953.6,683927.95,683922.64,1,1,1,1,1,1,1.00004526827771,1.000007764036,1
autocorr_bern60-45,2,7200,7200,7200,20,20,20,683911.43,683950.03,683939,1,1,1,1,1,1,0.999959689387504,1.00001612716924,1
autocorr_bern60-60,0,7200,7200,7200,9,8,8,684456.15,684444.4,684444.55,1,1,1,1.00925925925926,1,1,1.00001694804933,0.99999978084419,1
autocorr_bern60-60,1,7200,7200,7200,8,8,8,684487.82,684462.87,684450.19,1,1,1,1,1,1,1.00005497843459,1.00001852581851,1
autocorr_bern60-60,2,7200,7200,7200,9,8,8,684436.08,684579.67,684465.54,1,1,1,1.00925925925926,1,1,0.999956959118789,1.00016674323736,1
ball_mk2_10,0,0.5,0.5,0.5,1,1,1,0,0,720000,1,1,1,1,1,1,0,0,1
ball_mk2_10,1,0.5,0.5,0.5,1,1,1,720000,0,0,1,1,1,1,1,1,inf,0,0
